Airline,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
American,9249,9495,9866,10245,10092,11419,9650,10312,10076,9974,10771,11398,11354,11084,9165,10059,10514,10945,11204,11847,19186,18672,19273,19540
Continental,3718,4098,4480,4783,5098,5810,5108,4448,4406,4613,4860,5530,5862,5770,4703,5116,5946,,,,,,,
Delta,9072,9784,10504,10810,10942,11678,9549,8465,8107,8266,8372,7994,8091,7923,6406,11672,12862,13600,14801,16640,17622,17520,18317,20194
Northwest,5098,5716,5882,5190,5940,6455,5635,5284,5324,5665,5709,5822,5732,5437,3976,,,,,,,,,
United,8461,9493,9929,10595,10962,11458,9123,7663,7305,7747,7666,8642,8761,8514,6491,7121,7330,12522,12573,13038,13167,13046,14039,15536
US Airways,6059,6517,6725,6585,6362,6942,5887,4482,4075,4007,3949,6420,6504,6380,5177,5683,6332,6722,7229,7732,,,,
America West,1426,1587,1710,1812,1978,2133,1882,1853,2028,2101,2402,,,,,,,,,,,,,
Southwest,2761,3269,3639,3964,4499,5397,5290,5237,5612,6116,7092,8546,9167,10225,9561,11122,12582,15310,16522,17443,18034,18246,18698,19221
jetBlue,,,,,,102,310,615,965,1221,1617,2223,2632,3017,2685,2870,3385,3777,4046,4282,4709,4837,4983,5346
AirTran,,,102,344,486,605,648,714,888,1003,1388,1806,2191,2395,2074,2319,2539,,,,,,,
Frontier,54,105,131,182,293,433,429,444,558,672,778,890,1015,1122,869,1029,1401,1113,1076,1216,1162,1047,1072,1118
Virgin America,,,,,,,,,,,,,12,342,492,658,925,1191,1254,1277,1307,1416,1457,
Alaska,890,1031,1174,1275,1364,1455,1443,1489,1645,1794,1947,2153,2268,2349,2166,2445,2782,3054,3264,3549,3731,3753,4062,5723
Hawaiian,278,306,313,336,380,454,468,522,606,664,699,742,829,1022,958,1040,1143,1240,1356,1496,1556,1660,1748,1780
Spirit,49,54,64,116,212,274,326,379,438,468,450,452,523,506,438,455,609,716,927,1093,1148,1206,1398,1707
Allegiant,,,,,,,,,,46,91,178,259,331,375,458,532,631,708,801,824,860,937,1043
